treebank_id,baseline_kind,metric,delta,ci_lo,ci_hi,p_value,n_sentences,n_arcs,mean_real,mean_baseline,supports_h1
ar_padt,B1_uniform,word_dl,-0.7977823717346364,-0.8118203512866469,-0.7776182019143082,0.0,5321,171468.0,123.89174967111445,182.6693102800226,True
ar_padt,B1_uniform,head_dl,-0.7417778613042662,-0.7561910040993467,-0.7220286901870924,0.0,5321,171468.0,36.01127607592558,63.14264236045856,True
ar_padt,B2_arity_preserving,word_dl,-0.6156737455365533,-0.6351598261528346,-0.5951888742717534,0.0,5321,171468.0,123.89174967111445,160.1394850591994,True
ar_padt,B2_arity_preserving,head_dl,-0.6136064649501973,-0.6330345560898936,-0.5930622499785111,0.0,5321,171468.0,36.01127607592558,53.915316669798905,True
en_ewt,B1_uniform,word_dl,-0.5924558876485416,-0.6064715464684604,-0.5795371826483267,0.0,11108,182877.0,55.19076341375585,72.54778537990637,True
en_ewt,B1_uniform,head_dl,-0.5398811667266835,-0.5545313114863972,-0.5270525155120928,0.0,11108,182877.0,9.23577601728484,15.672038170687793,True
en_ewt,B2_arity_preserving,word_dl,-0.05797623334533669,-0.07609564485623102,-0.04313398807346383,1.0243950705053085e-10,11108,182877.0,55.19076341375585,60.70306085703998,True
en_ewt,B2_arity_preserving,head_dl,-0.19562477493698235,-0.21333287808188867,-0.1781265772689018,3.860811955308905e-109,11108,182877.0,9.23577601728484,11.954033129276198,True
fi_tdt,B1_uniform,word_dl,-0.5233360207829436,-0.5378633584994451,-0.5071372591605644,0.0,11163,135877.0,36.80023291229956,45.05342649825315,True
fi_tdt,B1_uniform,head_dl,-0.3648660754277524,-0.38111007595348084,-0.3496593332273262,0.0,11163,135877.0,7.137507838394697,10.225709934605392,True
fi_tdt,B2_arity_preserving,word_dl,0.036818059661381346,0.020621954565640113,0.054408492295988486,3.324160194832173e-05,11163,135877.0,36.80023291229956,38.668314969094325,False
fi_tdt,B2_arity_preserving,head_dl,0.0016124697661918839,-0.013344018671776916,0.0204585386055962,0.8620131168647012,11163,135877.0,7.137507838394697,8.02390038520111,False
ja_gsd,B1_uniform,word_dl,-0.9528369301129055,-0.9588398935659492,-0.9448335000714592,0.0,6997,158618.0,63.84607689009575,109.94188938116336,True
ja_gsd,B1_uniform,head_dl,-0.9276832928397885,-0.935257967700443,-0.9189346030565541,0.0,6997,158618.0,8.909818493640131,24.83572959839931,True
ja_gsd,B2_arity_preserving,word_dl,-0.6581392025153637,-0.6768507932020643,-0.6402744033157067,0.0,6997,158618.0,63.84607689009575,85.83352865513793,True
ja_gsd,B2_arity_preserving,head_dl,-0.6967271687866229,-0.7123748383104539,-0.6805826025166355,0.0,6997,158618.0,8.909818493640131,17.48492210947549,True
tr_imst,B1_uniform,word_dl,-0.6892901618929016,-0.7151696548829442,-0.6663500213893483,0.0,3212,31052.0,25.155043586550438,30.91569115815691,True
tr_imst,B1_uniform,head_dl,-0.40348692403486924,-0.42654314168480384,-0.3753415444887415,4.0282795437338e-149,3212,31052.0,5.0865504358655045,7.173661270236614,True
tr_imst,B2_arity_preserving,word_dl,-0.12141967621419676,-0.15392052699470557,-0.09523820593084249,2.171235699989495e-14,3212,31052.0,25.155043586550438,26.07714819427148,True
tr_imst,B2_arity_preserving,head_dl,-0.052303860523038606,-0.08097644432545952,-0.022797575516244693,0.0007086909284839204,3212,31052.0,5.0865504358655045,5.426899128268991,True
