treebank_id,n_seen,n_kept,rejection_rate,reject_too_long,reject_too_short,n_sentences_total,n_nonprojective,nonprojective_rate,n_analyzed,path,status,high_nonprojectivity
ar_padt,6075,5809,0.0438,170.0,96.0,5809,488,0.08400757445343432,5321,ar_padt-ud-train.conllu,ANALYZED,
cs_pdt,171044,164537,0.038,17.0,6490.0,164537,20279,0.1232488741134213,144258,cs_pdt-ud-train.conllu,ANALYZED,
de_gsd,13813,13795,0.0013,4.0,14.0,13795,1315,0.0953243928959768,12480,de_gsd-ud-train.conllu,ANALYZED,
el_gdt,1662,1630,0.0193,1.0,31.0,1630,181,0.11104294478527607,1449,el_gdt-ud-train.conllu,ANALYZED,
en_ewt,12544,11393,0.0918,5.0,1146.0,11393,285,0.025015360308961645,11108,en_ewt-ud-train.conllu,ANALYZED,
es_ancora,14287,14229,0.0041,19.0,39.0,14229,812,0.05706655422025441,13417,es_ancora-ud-train.conllu,ANALYZED,
et_edt,24601,24008,0.0241,2.0,591.0,24008,913,0.038028990336554484,23095,et_edt-ud-train.conllu,ANALYZED,
eu_bdt,5396,5396,0.0,,,5396,661,0.12249814677538917,4735,eu_bdt-ud-train.conllu,ANALYZED,
fa_seraji,4798,4765,0.0069,17.0,16.0,4765,381,0.07995802728226653,4384,fa_seraji-ud-train.conllu,ANALYZED,
fi_tdt,12217,11875,0.028,12.0,330.0,11875,712,0.059957894736842106,11163,fi_tdt-ud-train.conllu,ANALYZED,
fr_gsd,14450,14438,0.0008,10.0,2.0,14438,632,0.04377337581382463,13806,fr_gsd-ud-train.conllu,ANALYZED,
ga_idt,4005,3981,0.006,9.0,15.0,3981,613,0.15398141170560162,3368,ga_idt-ud-train.conllu,ANALYZED,
he_htb,5168,5147,0.0041,8.0,13.0,5147,74,0.014377307169224791,5073,he_htb-ud-train.conllu,ANALYZED,
hi_hdtb,13306,13302,0.0003,2.0,2.0,13302,1859,0.13975342053826492,11443,hi_hdtb-ud-train.conllu,ANALYZED,
hu_szeged,910,908,0.0022,,2.0,908,177,0.1949339207048458,731,hu_szeged-ud-train.conllu,EXCLUDED_TOO_SMALL,
id_gsd,4482,4460,0.0049,13.0,9.0,4460,90,0.020179372197309416,4370,id_gsd-ud-train.conllu,ANALYZED,
it_isdt,13121,12856,0.0202,15.0,250.0,12856,173,0.013456751711263223,12683,it_isdt-ud-train.conllu,ANALYZED,
ja_gsd,7050,7034,0.0023,11.0,5.0,7034,37,0.005260164913278362,6997,ja_gsd-ud-train.conllu,ANALYZED,
ko_kaist,23010,22965,0.002,,45.0,22965,5042,0.21955149139995644,17923,ko_kaist-ud-train.conllu,ANALYZED,True
la_ittb,22775,21444,0.0584,,1331.0,21444,8223,0.38346390598768887,13221,la_ittb-ud-train.conllu,ANALYZED,True
lv_lvtb,15059,14840,0.0145,13.0,206.0,14840,986,0.06644204851752021,13854,lv_lvtb-ud-train.conllu,ANALYZED,
pl_pdb,17722,17688,0.0019,,34.0,17688,899,0.05082541836273179,16789,pl_pdb-ud-train.conllu,ANALYZED,
pt_bosque,7018,6852,0.0237,13.0,153.0,6852,608,0.08873321657910099,6244,pt_bosque-ud-train.conllu,ANALYZED,
ru_syntagrus,69631,69036,0.0085,11.0,584.0,69036,4724,0.06842806651602062,64312,ru_syntagrus-ud-train.conllu,ANALYZED,
ta_ttb,400,400,0.0,,,400,7,0.0175,393,ta_ttb-ud-train.conllu,EXCLUDED_TOO_SMALL,
tr_imst,3435,3384,0.0148,,51.0,3384,172,0.0508274231678487,3212,tr_imst-ud-train.conllu,ANALYZED,
ug_udt,1656,1655,0.0006,,1.0,1655,114,0.0688821752265861,1541,ug_udt-ud-train.conllu,ANALYZED,
wo_wtb,1188,1187,0.0008,,1.0,1187,32,0.02695871946082561,1155,wo_wtb-ud-train.conllu,EXCLUDED_TOO_SMALL,
zh_gsd,3997,3996,0.0003,1.0,,3996,129,0.03228228228228228,3867,zh_gsd-ud-train.conllu,ANALYZED,
